treatment,replicate,number,germ.or.not,num.day,num.week
baseline,1,1,yes,9,1
baseline,1,2,yes,9,1
baseline,1,3,yes,9,1
baseline,1,4,yes,9,1
baseline,1,5,yes,9,1
baseline,1,6,yes,9,1
baseline,1,7,yes,9,1
baseline,1,8,yes,17,2
baseline,1,9,yes,9,1
baseline,1,10,yes,17,2
baseline,1,11,yes,9,1
baseline,1,12,yes,9,1
baseline,1,13,no,na,na
baseline,1,14,yes,9,1
baseline,1,15,no,na,na
baseline,1,16,yes,9,1
baseline,1,17,no,na,na
baseline,1,18,yes,9,1
baseline,1,19,yes,9,1
baseline,1,20,yes,9,1
baseline,1,21,yes,9,1
baseline,1,22,yes,9,1
baseline,1,23,yes,9,1
baseline,1,24,yes,9,1
baseline,1,25,yes,9,1
baseline,2,1,yes,9,1
baseline,2,2,yes,9,1
baseline,2,3,yes,9,1
baseline,2,4,yes,9,1
baseline,2,5,yes,17,2
baseline,2,6,yes,9,1
baseline,2,7,yes,9,1
baseline,2,8,yes,9,1
baseline,2,9,yes,9,1
baseline,2,10,yes,9,1
baseline,2,11,yes,9,1
baseline,2,12,yes,9,1
baseline,2,13,yes,9,1
baseline,2,14,yes,9,1
baseline,2,15,yes,9,1
baseline,2,16,yes,9,1
baseline,2,17,yes,9,1
baseline,2,18,yes,17,2
baseline,2,19,yes,9,1
baseline,2,20,yes,9,1
baseline,2,21,yes,9,1
baseline,2,22,yes,9,1
baseline,2,23,yes,9,1
baseline,2,24,yes,9,1
baseline,2,25,no,na,na
baseline,3,1,no,na,na
baseline,3,2,yes,9,1
baseline,3,3,yes,24,3
baseline,3,4,yes,9,1
baseline,3,5,yes,17,2
baseline,3,6,yes,9,1
baseline,3,7,yes,9,1
baseline,3,8,yes,9,1
baseline,3,9,yes,9,1
baseline,3,10,yes,9,1
baseline,3,11,yes,9,1
baseline,3,12,yes,17,2
baseline,3,13,yes,9,1
baseline,3,14,yes,9,1
baseline,3,15,yes,17,2
baseline,3,16,yes,17,2
baseline,3,17,yes,9,1
baseline,3,18,yes,17,2
baseline,3,19,yes,9,1
baseline,3,20,yes,9,1
baseline,3,21,yes,17,2
baseline,3,22,yes,9,1
baseline,3,23,yes,24,3
baseline,3,24,yes,24,3
baseline,3,25,yes,17,2
dry20,1,1,no,na,na
dry20,1,2,no,na,na
dry20,1,3,no,na,na
dry20,1,4,no,na,na
dry20,1,5,no,na,na
dry20,1,6,no,na,na
dry20,1,7,no,na,na
dry20,1,8,no,na,na
dry20,1,9,no,na,na
dry20,1,10,no,na,na
dry20,1,11,no,na,na
dry20,1,12,no,na,na
dry20,1,13,no,na,na
dry20,1,14,no,na,na
dry20,1,15,no,na,na
dry20,1,16,no,na,na
dry20,1,17,no,na,na
dry20,1,18,no,na,na
dry20,1,19,no,na,na
dry20,1,20,no,na,na
dry20,1,21,no,na,na
dry20,1,22,no,na,na
dry20,1,23,no,na,na
dry20,1,24,no,na,na
dry20,1,25,no,na,na
dry20,2,1,no,na,na
dry20,2,2,no,na,na
dry20,2,3,no,na,na
dry20,2,4,no,na,na
dry20,2,5,no,na,na
dry20,2,6,no,na,na
dry20,2,7,no,na,na
dry20,2,8,no,na,na
dry20,2,9,no,na,na
dry20,2,10,no,na,na
dry20,2,11,no,na,na
dry20,2,12,no,na,na
dry20,2,13,no,na,na
dry20,2,14,no,na,na
dry20,2,15,no,na,na
dry20,2,16,no,na,na
dry20,2,17,no,na,na
dry20,2,18,no,na,na
dry20,2,19,no,na,na
dry20,2,20,no,na,na
dry20,2,21,no,na,na
dry20,2,22,no,na,na
dry20,2,23,no,na,na
dry20,2,24,no,na,na
dry20,2,25,no,na,na
dry20,3,1,no,na,na
dry20,3,2,no,na,na
dry20,3,3,no,na,na
dry20,3,4,no,na,na
dry20,3,5,no,na,na
dry20,3,6,no,na,na
dry20,3,7,no,na,na
dry20,3,8,no,na,na
dry20,3,9,no,na,na
dry20,3,10,no,na,na
dry20,3,11,no,na,na
dry20,3,12,no,na,na
dry20,3,13,no,na,na
dry20,3,14,no,na,na
dry20,3,15,no,na,na
dry20,3,16,no,na,na
dry20,3,17,no,na,na
dry20,3,18,no,na,na
dry20,3,19,no,na,na
dry20,3,20,no,na,na
dry20,3,21,no,na,na
dry20,3,22,no,na,na
dry20,3,23,no,na,na
dry20,3,24,no,na,na
dry20,3,25,no,na,na
dry40,1,1,yes,11,2
dry40,1,2,yes,11,2
dry40,1,3,yes,11,2
dry40,1,4,yes,11,2
dry40,1,5,yes,11,2
dry40,1,6,yes,11,2
dry40,1,7,yes,18,3
dry40,1,8,yes,11,2
dry40,1,9,yes,11,2
dry40,1,10,no,na,na
dry40,1,11,no,na,na
dry40,1,12,no,na,na
dry40,1,13,yes,11,2
dry40,1,14,yes,11,2
dry40,1,15,no,na,na
dry40,1,16,yes,11,2
dry40,1,17,yes,11,2
dry40,1,18,no,na,na
dry40,1,19,no,na,na
dry40,1,20,yes,11,2
dry40,1,21,yes,11,2
dry40,1,22,yes,11,2
dry40,1,23,yes,11,2
dry40,1,24,no,na,na
dry40,1,25,yes,11,2
dry40,2,1,no,na,na
dry40,2,2,no,na,na
dry40,2,3,yes,11,2
dry40,2,4,no,na,na
dry40,2,5,no,na,na
dry40,2,6,yes,11,2
dry40,2,7,no,na,na
dry40,2,8,yes,11,2
dry40,2,9,no,na,na
dry40,2,10,yes,11,2
dry40,2,11,no,na,na
dry40,2,12,yes,11,2
dry40,2,13,yes,26,4
dry40,2,14,yes,11,2
dry40,2,15,yes,18,3
dry40,2,16,yes,11,2
dry40,2,17,no,na,na
dry40,2,18,yes,11,2
dry40,2,19,yes,11,2
dry40,2,20,no,na,na
dry40,2,21,yes,11,2
dry40,2,22,yes,11,2
dry40,2,23,yes,11,2
dry40,2,24,no,na,na
dry40,2,25,yes,11,2
dry40,3,1,yes,11,2
dry40,3,2,yes,26,4
dry40,3,3,no,na,na
dry40,3,4,yes,11,2
dry40,3,5,yes,11,2
dry40,3,6,no,na,na
dry40,3,7,yes,11,2
dry40,3,8,yes,11,2
dry40,3,9,yes,11,2
dry40,3,10,no,na,na
dry40,3,11,yes,18,3
dry40,3,12,yes,18,3
dry40,3,13,yes,11,2
dry40,3,14,yes,11,2
dry40,3,15,yes,11,2
dry40,3,16,no,na,na
dry40,3,17,no,na,na
dry40,3,18,yes,11,2
dry40,3,19,yes,11,2
dry40,3,20,yes,11,2
dry40,3,21,no,na,na
dry40,3,22,yes,45,6
dry40,3,23,yes,11,2
dry40,3,24,yes,11,2
dry40,3,25,no,na,na
wet40,1,1,yes,11,2
wet40,1,2,yes,11,2
wet40,1,3,yes,11,2
wet40,1,4,yes,11,2
wet40,1,5,yes,11,2
wet40,1,6,no,na,na
wet40,1,7,yes,11,2
wet40,1,8,yes,11,2
wet40,1,9,yes,11,2
wet40,1,10,yes,11,2
wet40,1,11,yes,11,2
wet40,1,12,yes,11,2
wet40,1,13,yes,11,2
wet40,1,14,yes,11,2
wet40,1,15,yes,11,2
wet40,1,16,yes,11,2
wet40,1,17,yes,11,2
wet40,1,18,yes,11,2
wet40,1,19,yes,11,2
wet40,1,20,yes,11,2
wet40,1,21,yes,11,2
wet40,1,22,yes,11,2
wet40,1,23,yes,11,2
wet40,1,24,yes,11,2
wet40,1,25,yes,11,2
wet40,2,1,yes,11,2
wet40,2,2,yes,11,2
wet40,2,3,yes,11,2
wet40,2,4,yes,11,2
wet40,2,5,yes,11,2
wet40,2,6,yes,11,2
wet40,2,7,yes,11,2
wet40,2,8,yes,11,2
wet40,2,9,yes,11,2
wet40,2,10,yes,11,2
wet40,2,11,yes,11,2
wet40,2,12,yes,11,2
wet40,2,13,yes,11,2
wet40,2,14,yes,11,2
wet40,2,15,no,na,na
wet40,2,16,yes,11,2
wet40,2,17,yes,11,2
wet40,2,18,yes,11,2
wet40,2,19,yes,11,2
wet40,2,20,yes,11,2
wet40,2,21,yes,11,2
wet40,2,22,yes,11,2
wet40,2,23,yes,11,2
wet40,2,24,yes,11,2
wet40,2,25,yes,11,2
wet40,3,1,yes,11,2
wet40,3,2,no,na,na
wet40,3,3,no,na,na
wet40,3,4,no,na,na
wet40,3,5,yes,11,2
wet40,3,6,yes,11,2
wet40,3,7,yes,18,3
wet40,3,8,no,na,na
wet40,3,9,yes,11,2
wet40,3,10,yes,11,2
wet40,3,11,yes,11,2
wet40,3,12,yes,11,2
wet40,3,13,yes,11,2
wet40,3,14,yes,11,2
wet40,3,15,yes,11,2
wet40,3,16,yes,18,3
wet40,3,17,yes,11,2
wet40,3,18,no,na,na
wet40,3,19,yes,11,2
wet40,3,20,yes,11,2
wet40,3,21,yes,11,2
wet40,3,22,no,na,na
wet40,3,23,yes,11,2
wet40,3,24,yes,26,4
wet40,3,25,yes,11,2
wet20,1,1,no,na,na
wet20,1,2,no,na,na
wet20,1,3,no,na,na
wet20,1,4,yes,25,4
wet20,1,5,no,na,na
wet20,1,6,no,na,na
wet20,1,7,yes,9,1
wet20,1,8,no,na,na
wet20,1,9,no,na,na
wet20,1,10,no,na,na
wet20,1,11,no,na,na
wet20,1,12,no,na,na
wet20,1,13,no,na,na
wet20,1,14,no,na,na
wet20,1,15,no,na,na
wet20,1,16,no,na,na
wet20,1,17,no,na,na
wet20,1,18,no,na,na
wet20,1,19,yes,9,1
wet20,1,20,no,na,na
wet20,1,21,no,na,na
wet20,1,22,no,na,na
wet20,1,23,no,na,na
wet20,1,24,no,na,na
wet20,1,25,no,na,na
wet20,2,1,no,na,na
wet20,2,2,no,na,na
wet20,2,3,no,na,na
wet20,2,4,yes,9,1
wet20,2,5,yes,25,4
wet20,2,6,no,na,na
wet20,2,7,yes,17,2
wet20,2,8,no,na,na
wet20,2,9,no,na,na
wet20,2,10,no,na,na
wet20,2,11,no,na,na
wet20,2,12,no,na,na
wet20,2,13,no,na,na
wet20,2,14,no,na,na
wet20,2,15,yes,9,1
wet20,2,16,no,na,na
wet20,2,17,no,na,na
wet20,2,18,yes,9,1
wet20,2,19,no,na,na
wet20,2,20,yes,17,2
wet20,2,21,no,na,na
wet20,2,22,no,na,na
wet20,2,23,no,na,na
wet20,2,24,yes,9,1
wet20,2,25,no,na,na
wet20,3,1,no,na,na
wet20,3,2,no,na,na
wet20,3,3,no,na,na
wet20,3,4,no,na,na
wet20,3,5,yes,17,2
wet20,3,6,yes,9,1
wet20,3,7,yes,9,1
wet20,3,8,yes,17,2
wet20,3,9,no,na,na
wet20,3,10,yes,17,2
wet20,3,11,yes,9,1
wet20,3,12,no,na,na
wet20,3,13,no,na,na
wet20,3,14,no,na,na
wet20,3,15,no,na,na
wet20,3,16,yes,17,2
wet20,3,17,no,na,na
wet20,3,18,yes,9,1
wet20,3,19,yes,9,1
wet20,3,20,no,na,na
wet20,3,21,yes,9,1
wet20,3,22,yes,25,4
wet20,3,23,no,na,na
wet20,3,24,no,na,na
wet20,3,25,yes,9,1
