date,gov,yup
1/1/2018,27,20
1/2/2018,28,na
1/3/2018,28,16
1/4/2018,30,21
1/5/2018,23,22
1/6/2018,30,39
1/7/2018,31,40
1/8/2018,26,35
1/9/2018,24,24
1/10/2018,22,23
1/11/2018,37,30
1/12/2018,21,na
1/13/2018,25,15
1/14/2018,33,25
1/15/2018,36,34
1/16/2018,40,36
1/17/2018,40,33
1/18/2018,35,29
1/19/2018,33,27
1/20/2018,37,32
1/21/2018,41,34
1/22/2018,33,23
1/23/2018,32,26
1/24/2018,24,18
1/25/2018,27,19
1/26/2018,26,19
1/27/2018,30,26
1/28/2018,29,24
1/29/2018,32,25
1/30/2018,29,21
1/31/2018,32,30
2/1/2018,35,26
2/2/2018,36,32
2/3/2018,57,50
2/4/2018,59,51
2/5/2018,64,54
2/6/2018,74,65
2/7/2018,63,57
2/8/2018,58,51
2/9/2018,53,47
2/10/2018,48,39
2/11/2018,47,42
2/12/2018,59,54
2/13/2018,70,65
2/14/2018,67,64
2/15/2018,54,49
2/16/2018,37,34
2/17/2018,41,37
2/18/2018,46,na
2/19/2018,53,57
2/20/2018,55,59
2/21/2018,55,61
2/22/2018,45,43
2/23/2018,41,39
2/24/2018,47,39
2/25/2018,42,37
2/26/2018,54,49
2/27/2018,53,43
2/28/2018,75,75
3/1/2018,79,82
3/2/2018,72,74
3/3/2018,57,58
3/4/2018,59,na
3/5/2018,67,66
3/6/2018,94,86
3/7/2018,65,68
3/8/2018,102,100
3/9/2018,73,72
3/10/2018,39,38
3/11/2018,56,59
3/12/2018,51,54
3/13/2018,46,48
3/14/2018,66,61
3/15/2018,74,74
3/16/2018,86,83
3/17/2018,88,87
3/18/2018,97,95
3/19/2018,67,73
3/20/2018,60,59
3/21/2018,82,83
3/22/2018,79,74
3/23/2018,72,69
3/24/2018,68,64
3/25/2018,76,72
3/26/2018,70,71
3/27/2018,57,60
3/28/2018,77,74
3/29/2018,104,108
3/30/2018,105,107
3/31/2018,na,72
4/1/2018,47,45
4/2/2018,52,52
4/3/2018,34,34
4/4/2018,41,43
4/5/2018,33,37
4/6/2018,26,28
4/7/2018,23,20
4/8/2018,18,14
4/9/2018,25,27
4/10/2018,41,43
4/11/2018,72,76
4/12/2018,69,69
4/13/2018,71,76
4/14/2018,89,86
4/15/2018,94,76
4/16/2018,64,61
4/17/2018,33,33
4/18/2018,27,25
4/19/2018,35,34
4/20/2018,46,50
4/21/2018,56,57
4/22/2018,76,80
4/23/2018,75,73
4/24/2018,85,82
4/25/2018,69,71
4/26/2018,44,45
4/27/2018,38,37
4/28/2018,32,34
4/29/2018,25,22
4/30/2018,25,17
5/1/2018,18,16
5/2/2018,11,9
5/3/2018,13,10
5/4/2018,15,15
5/5/2018,18,15
5/6/2018,25,22
5/7/2018,36,33
5/8/2018,40,38
5/9/2018,41,41
5/10/2018,na,34
5/11/2018,na,27
5/12/2018,na,25
5/13/2018,25,21
5/14/2018,24,22
5/15/2018,28,24
5/16/2018,30,23
5/17/2018,22,19
5/18/2018,15,16
5/19/2018,22,19
5/20/2018,23,22
5/21/2018,23,26
5/22/2018,14,16
5/23/2018,18,18
5/24/2018,13,12
5/25/2018,13,12
5/26/2018,14,14
5/27/2018,11,7
5/28/2018,11,12
5/29/2018,11,10
5/30/2018,11,11
5/31/2018,11,na
6/1/2018,11,32
6/2/2018,9,32
6/3/2018,12,48
6/4/2018,14,41
6/5/2018,14,26
6/6/2018,13,na
6/7/2018,na,12
6/8/2018,12,9
6/9/2018,10,11
6/10/2018,11,10
6/11/2018,na,10
6/12/2018,9,9
6/13/2018,11,12
6/14/2018,15,16
6/15/2018,14,15
6/16/2018,19,22
6/17/2018,29,29
6/18/2018,34,34
6/19/2018,28,34
6/20/2018,20,21
6/21/2018,14,16
6/22/2018,15,15
6/23/2018,14,14
6/24/2018,12,14
6/25/2018,15,16
6/26/2018,13,12
6/27/2018,10,11
6/28/2018,11,9
6/29/2018,11,12
6/30/2018,13,16
7/1/2018,12,15
7/2/2018,15,11
7/3/2018,16,13
7/4/2018,15,12
7/5/2018,13,34
7/6/2018,14,na
7/7/2018,13,10
7/8/2018,15,16
7/9/2018,15,15
7/10/2018,12,17
7/11/2018,10,12
7/12/2018,12,11
7/13/2018,10,14
7/14/2018,11,19
7/15/2018,12,na
7/16/2018,na,8
7/17/2018,na,11
7/18/2018,na,11
7/19/2018,11,10
7/20/2018,13,13
7/21/2018,19,24
7/22/2018,18,19
7/23/2018,15,16
7/24/2018,16,16
7/25/2018,18,20
7/26/2018,16,23
7/27/2018,19,20
7/28/2018,15,15
7/29/2018,17,21
7/30/2018,20,20
7/31/2018,17,16
8/1/2018,18,16
8/2/2018,22,na
8/3/2018,21,20
8/4/2018,24,20
8/5/2018,18,21
8/6/2018,20,na
8/7/2018,19,13
8/8/2018,19,18
8/9/2018,18,18
8/10/2018,15,15
8/11/2018,15,14
8/12/2018,15,15
8/13/2018,13,10
8/14/2018,15,11
8/15/2018,16,20
8/16/2018,14,na
8/17/2018,17,22
8/18/2018,11,10
8/19/2018,14,8
8/20/2018,18,14
8/21/2018,18,14
8/22/2018,16,14
8/23/2018,17,14
8/24/2018,15,11
8/25/2018,15,10
8/26/2018,15,10
8/27/2018,12,8
8/28/2018,13,8
8/29/2018,16,11
8/30/2018,21,21
8/31/2018,18,19
9/1/2018,15,10
9/2/2018,15,12
9/3/2018,15,18
9/4/2018,14,13
9/5/2018,13,9
9/6/2018,14,14
9/7/2018,19,13
9/8/2018,15,10
9/9/2018,15,10
9/10/2018,17,9
9/11/2018,15,11
9/12/2018,13,15
9/13/2018,14,20
9/14/2018,10,12
9/15/2018,12,14
9/16/2018,15,16
9/17/2018,15,18
9/18/2018,9,9
9/19/2018,8,10
9/20/2018,9,8
9/21/2018,10,13
9/22/2018,14,14
9/23/2018,17,14
9/24/2018,16,12
9/25/2018,15,12
9/26/2018,13,9
9/27/2018,15,9
9/28/2018,16,8
9/29/2018,17,7
9/30/2018,16,9
10/1/2018,19,na
10/2/2018,15,na
10/3/2018,18,na
10/4/2018,27,na
10/5/2018,35,na
10/6/2018,35,na
10/7/2018,35,na
10/8/2018,35,na
10/9/2018,35,na
10/10/2018,29,na
10/11/2018,19,na
10/12/2018,25,na
10/13/2018,20,na
10/14/2018,22,na
10/15/2018,21,na
10/16/2018,23,na
10/17/2018,20,na
10/18/2018,20,na
10/19/2018,21,na
10/20/2018,24,na
10/21/2018,19,na
10/22/2018,15,na
10/23/2018,14,na
10/24/2018,15,na
10/25/2018,16,na
10/26/2018,19,na
10/27/2018,20,na
10/28/2018,22,na
10/29/2018,23,na
10/30/2018,20,na
10/31/2018,24,na
11/1/2018,27,na
11/2/2018,29,na
11/3/2018,31,na
11/4/2018,29,na
11/5/2018,28,na
11/6/2018,25,na
11/7/2018,23,na
11/8/2018,22,na
11/9/2018,19,na
11/10/2018,14,na
11/11/2018,12,na
11/12/2018,13,na
11/13/2018,14,na
11/14/2018,16,na
11/15/2018,16,na
11/16/2018,18,na
11/17/2018,21,na
11/18/2018,21,na
11/19/2018,23,na
11/20/2018,24,na
11/21/2018,22,na
11/22/2018,23,na
11/23/2018,24,na
11/24/2018,23,na
11/25/2018,23,na
11/26/2018,23,15
11/27/2018,24,14
11/28/2018,21,15
11/29/2018,27,19
11/30/2018,28,24
12/1/2018,26,21
12/2/2018,25,24
12/3/2018,27,22
12/4/2018,26,25
12/5/2018,25,20
12/6/2018,25,22
12/7/2018,33,31
12/8/2018,41,47
12/9/2018,36,31
12/10/2018,19,19
12/11/2018,21,20
12/12/2018,18,20
12/13/2018,15,11
12/14/2018,17,15
12/15/2018,20,14
12/16/2018,18,13
12/17/2018,16,7
12/18/2018,20,18
12/19/2018,27,24
12/20/2018,29,31
12/21/2018,21,20
12/22/2018,16,10
12/23/2018,17,8
12/24/2018,21,16
12/25/2018,23,16
12/26/2018,19,15
12/27/2018,24,18
12/28/2018,30,28
12/29/2018,33,28
12/30/2018,21,16
12/31/2018,22,19
