genus,epithet,no,width_mm,long_mm,thickness_mm,volume_mm3,coat_thick_mm,wet_weight_g,dry_weight_g,moisture_percent
Neocinnamomum,caudatum,1,8.5,17.47,7.69,597.91,0.12,0.6239,0.4967,20.39
Neocinnamomum,caudatum,2,8.08,15.12,7,447.77,0.126,0.4674,0.3842,17.8
Neocinnamomum,caudatum,3,7.58,14.38,7.15,408.07,0.113,0.4574,0.3772,17.53
Neocinnamomum,caudatum,4,7.62,17.68,7.42,523.41,0.109,0.5302,0.4615,12.96
Neocinnamomum,caudatum,5,7.25,13.89,6.4,337.46,0.124,0.3283,0.3078,6.24
Neocinnamomum,caudatum,6,7.68,16.44,7.09,468.71,0.118,0.4928,0.411,16.6
Neocinnamomum,caudatum,7,8.58,16.34,7.85,576.25,0.138,0.562,0.4549,19.06
Neocinnamomum,caudatum,8,7.09,13.55,6.48,325.96,0.116,0.2764,0.2383,13.78
Neocinnamomum,caudatum,9,7.66,16.64,6.91,461.17,0.106,0.4497,0.4058,9.76
Neocinnamomum,caudatum,10,8.04,17.48,7.76,571.03,0.116,0.6573,0.5164,21.44
Neocinnamomum,caudatum,11,8.03,15.51,6.84,446.05,0.119,0.4573,0.3457,24.4
Neocinnamomum,caudatum,12,6.78,16.06,6.04,344.36,0.134,0.3443,0.3184,7.52
Neocinnamomum,caudatum,13,7.37,16.17,6.61,412.46,0.124,0.4035,0.3581,11.25
Neocinnamomum,caudatum,14,8.3,19.34,7.54,633.73,0.122,0.6072,0.4977,18.03
Neocinnamomum,caudatum,15,8.4,14.72,7.81,505.63,0.13,0.5014,0.4089,18.45
Neocinnamomum,caudatum,16,7.92,15.46,7.3,468.01,0.119,0.4769,0.4311,9.6
Neocinnamomum,caudatum,17,7.53,17.13,7.15,482.9,0.123,0.5009,0.4171,16.73
Neocinnamomum,caudatum,18,6.79,14.59,6.52,338.2,0.11,0.346,0.3057,11.65
Neocinnamomum,caudatum,19,7.79,17.49,7.19,512.93,0.121,0.4966,0.4552,8.34
Neocinnamomum,caudatum,20,7.75,14.2,6.94,399.9,0.108,0.3977,0.3324,16.42
Erythrina,subumbrans,1,9.46,17.75,9.3,817.66,0.184,1.3363,0.7995,40.17
Erythrina,subumbrans,2,8.95,16.39,9.2,706.62,0.196,1.2055,0.7513,37.68
Erythrina,subumbrans,3,9.47,15.62,9.36,724.95,0.157,1.1322,0.7153,36.82
Erythrina,subumbrans,4,7.99,16.97,9.09,645.34,0.165,1.041,0.7963,23.51
Erythrina,subumbrans,5,8.26,17.83,9.24,712.53,0.166,1.1056,0.8752,20.84
Erythrina,subumbrans,6,10.4,17.61,10.62,1018.39,0.16,1.5233,0.9658,36.6
Erythrina,subumbrans,7,8.14,15.93,8.58,582.54,0.154,0.9597,0.7614,20.66
Erythrina,subumbrans,8,8.36,16.63,8.39,610.74,0.147,0.9169,0.7054,23.07
Erythrina,subumbrans,9,8.74,17.99,9.55,786.22,0.17,1.1672,0.9229,20.93
Erythrina,subumbrans,10,10.92,19.08,10.91,1190.21,0.164,1.7054,1.0939,35.86
Erythrina,subumbrans,11,9.14,15.58,8.6,641.23,0.192,1.0101,0.6478,35.87
Erythrina,subumbrans,12,9.05,16.56,8.75,686.62,0.195,1.0475,0.7987,23.75
Erythrina,subumbrans,13,9.75,15.08,9.51,732.12,0.202,1.0945,0.7499,31.48
Erythrina,subumbrans,14,8.43,18.26,8.18,659.3,0.165,1.0167,0.7787,23.41
Erythrina,subumbrans,15,9.42,19.22,9.03,856.03,0.179,1.307,0.8308,36.43
Erythrina,subumbrans,16,8.36,16.58,8,580.6,0.167,0.9217,0.7421,19.49
Erythrina,subumbrans,17,8.85,14.48,7.79,522.69,0.151,0.7004,0.5062,27.73
Erythrina,subumbrans,18,8.07,16.83,8.18,581.71,0.165,0.991,0.7851,20.78
Erythrina,subumbrans,19,8.12,13.76,9.69,566.89,0.168,0.7928,0.6512,17.86
Erythrina,subumbrans,20,7.92,14.45,9.78,586.04,0.153,0.8249,0.6655,19.32
Garcinia,cowa,1,16.96,29.79,11.91,3150.7,0.408,3.2845,1.8643,43.24
Garcinia,cowa,2,20.22,34.25,9.97,3615.23,0.404,3.222,1.5531,51.8
Garcinia,cowa,3,15.1,28.54,11.93,2691.97,0.395,2.7384,1.7038,37.78
Garcinia,cowa,4,17.92,31.14,10.75,3140.97,0.41,3.3729,1.9337,42.67
Garcinia,cowa,5,15.31,31.56,9.53,2411.04,0.405,2.955,1.2556,57.51
Garcinia,cowa,6,16.78,31.1,11.71,3199.69,0.408,2.9459,1.8519,37.14
Garcinia,cowa,7,15.79,32.82,10.74,2914.23,0.393,2.9855,1.8364,38.49
Garcinia,cowa,8,15.56,32.9,11.46,3071.77,0.494,3.3286,2.0936,37.1
Garcinia,cowa,9,17.64,32.72,8.73,2638.3,0.465,2.6381,1.6429,37.72
Garcinia,cowa,10,12.99,28.52,12.92,2506.22,0.419,2.9899,1.7779,40.54
Garcinia,cowa,11,15.1,31.53,8.09,2016.73,0.427,1.9166,1.1027,42.47
Garcinia,cowa,12,15.26,29.59,11.07,2617.25,0.422,3.0485,1.4534,52.32
Garcinia,cowa,13,16.84,31.97,8.83,2489.11,0.425,2.3786,1.427,40.01
Garcinia,cowa,14,16.05,33.76,11.36,3222.96,0.421,3.6987,2.0932,43.41
Garcinia,cowa,15,15.88,29.98,9.02,2248.47,0.404,2.4902,1.0679,57.12
Garcinia,cowa,16,13.96,27.75,9.88,2004.03,0.419,2.156,1.1119,48.43
Garcinia,cowa,17,16.36,35.81,11.83,3628.87,0.394,3.5599,2.1112,40.69
Garcinia,cowa,18,15.57,29.67,12.61,3050.14,0.385,3.3963,2.1469,36.79
Garcinia,cowa,19,15.5,31.95,10.72,2779.69,0.405,3.138,1.2188,61.16
Garcinia,cowa,20,15.77,30.8,11.43,2906.88,0.411,2.9876,1.7314,42.05
